       ALABAMA
       INDIANA
        Anderson                  40? 6' N      85? 37' W
        Bedford                   38? 51' N     86? 30' W
        Bloomington               39? 8' N      86? 37' W
        Columbus, Bakalar AFB     39? 16' N     85? 54' W
        Crawfordsville            40? 3' N      86? 54' W
        Evansville AP             38? 3' N      87? 32' W
        Fort Wayne AP             41? 0' N      85? 12' W
        Goshen AP                 41? 32' N     85? 48' W
        Hobart                    41? 32' N     87? 15' W
        Huntington                40? 53' N     85? 30' W
        Indianapolis AP           39? 44' N     86? 17' W
        Jeffersonville            38? 17' N     85? 45' W
        Kokomo                    40? 25' N     86? 3' W
        Lafayette                 40? 2' N      86? 5' W
        La Porte                  41? 36' N     86? 43' W
        Marion                    40? 29' N     85? 41' W
        Muncie                    40? 11' N     85? 21' W
        Peru, Grissom AFB         40? 39' N     86? 9' W
        Richmond AP               39? 46' N     84? 50' W
        Shelbyville               39? 31' N     85? 47' W
        South Bend AP             41? 42' N     86? 19' W
        Terre Haute AP            39? 27' N     87? 18' W
        Valparaiso                41? 31' N     87? 2' W
        Vincennes                 38? 41' N     87? 32' W
       IOWA
        Ames (S)                  42? 2' N      93? 48' W
        Burlington AP             40? 47' N     91? 7' W
        Cedar Rapids AP           41? 53' N     91? 42' W
        Clinton                   41? 50' N     90? 13' W
        Council Bluffs            41? 20' N     95? 49' W
        Des Moines AP             41? 32' N     93? 39' W
        Dubuque                   42? 24' N     90? 42' W
        Fort Dodge                42? 33' N     94? 11' W
        Iowa City                 41? 38' N     91? 33' W
        Keokuk                    40? 24' N     91? 24' W
        Marshalltown              42? 4' N      92? 56' W
        Mason City AP             43? 9' N      93? 20' W
        Newton                    41? 41' N     93? 2' W
        Ottumwa AP                41? 6' N      92? 27' W
        Sioux City AP             42? 24' N     96? 23' W
        Waterloo                  42? 33' N     92? 24' W
       KANSAS
        Atchison                  39? 34' N     95? 7' W
        Chanute AP                37? 40' N     95? 29' W
        Dodge City AP (S)         37? 46' N     99? 58' W
        El Dorado                 37? 49' N     96? 50' W
        Emporia                   38? 20' N     96? 12' W
        Garden City AP            37? 56' N    100? 44' W
        Goodland AP               39? 22' N    101? 42' W
        Great Bend                38? 21' N     98? 52' W
        Hutchinson AP             38? 4' N      97? 52' W
        Liberal                   37? 3' N     100? 58' W
        Manhattan, Ft Riley (S)   39? 3' N      96? 46' W
        Parsons                   37? 20' N     95? 31' W
        Russell AP                38? 52' N     98? 49' W
        Salina                    38? 48' N     97? 39' W
        Topeka AP                 39? 4' N      95? 38' W
        Wichita AP                37? 39' N     97? 25' W
       KENTUCKY
        Ashland                   38? 33' N     82? 44' W
        Bowling Green AP          35? 58' N     86? 28' W
        Corbin AP                 36? 57' N     84? 6' W
        Covington AP              39? 3' N      84? 40' W
        Hopkinsville, Ft Campbell 36? 40' N     87? 29' W
        Lexington AP (S)          38? 2' N      84? 36' W
        Louisville AP             38? 11' N     85? 44' W
        Madisonville              37? 19' N     87? 29' W
        Owensboro                 37? 45' N     87? 10' W
        Paducah AP                37? 4' N      88? 46' W
       LOUISIANA
        Alexandria AP             31? 24' N     92? 18' W
        Baton Rouge AP            30? 32' N     91? 9' W
        Bogalusa                  30? 47' N     89? 52' W
        Houma                     29? 31' N     90? 40' W
        Lafayette AP              30? 12' N     92? 0' W
        Lake Charles AP (S)       30? 7' N      93? 13' W
        Minden                    32? 36' N     93? 18' W
        Monroe AP                 32? 31' N     92? 2' W
        Natchitoches              31? 46' N     93? 5' W
        New Orleans AP            29? 59' N     90? 15' W
        Shreveport AP (S)         32? 28' N     93? 49' W
       MAINE
        Augusta AP                44? 19' N     69? 48' W
        Bangor, Dow AFB           44? 48' N     68? 50' W
        Caribou AP (S)            46? 52' N     68? 1' W
        Lewiston                  44? 2' N      70? 15' W
        Millinocket AP            45? 39' N     68? 42' W
        Portland (S)              43? 39' N     70? 19' W
        Waterville                44? 32' N     69? 40' W
       MARYLAND
        Baltimore AP              39? 11' N     76? 40' W
        Baltimore Co              39? 20' N     76? 25' W
        Cumberland                39? 37' N     78? 46' W
        Frederick AP              39? 27' N     77? 25' W
        Hagerstown                39? 42' N     77? 44' W
        Salisbury (S)             38? 20' N     75? 30' W
       MASSACHUSETTS
        Boston AP                 42? 22' N     71? 2' W
        Clinton                   42? 24' N     71? 41' W
        Fall River                41? 43' N     71? 8' W
        Framingham                42? 17' N     71? 25' W
        Gloucester                42? 35' N     70? 41' W
        Greenfield                42? 3' N      72? 4' W
        Lawrence                  42? 42' N     71? 10' W
        Lowell                    42? 39' N     71? 19' W
        New Bedford               41? 41' N     70? 58' W
        Pittsfield AP             42? 26' N     73? 18' W
        Springfield, Westover AFB 42? 12' N     72? 32' W
        Taunton                   41? 54' N     71? 4' W
        Worcester AP              42? 16' N     71? 52' W
       MICHIGAN
        Adrian                    41? 55' N     84? 1' W
        Alpena AP                 45? 4' N      83? 26' W
        Battle Creek AP           42? 19' N     85? 15' W
        Benton Harbor AP          42? 8' N      86? 26' W
        Detroit                   42? 25' N     83? 1' W
        Escanaba                  45? 44' N     87? 5' W
        Flint AP                  42? 58' N     83? 44' W
        Grand Rapids AP           42? 53' N     85? 31' W
        Holland                   42? 42' N     86? 6' W
        Jackson AP                42? 16' N     84? 28' W
        Kalamazoo                 42? 17' N     85? 36' W
